,BKF-BL,BKF-NGW,BKF-OFFSET,BKF-PBL,BKF-SHW,Riders
0,224,34,1,214,0,6769
1,237,54,3,214,0,6616
2,237,54,3,216,4,13440
3,237,57,3,216,4,11357
