,BKF-BL,BKF-NGW,BKF-OFFSET,BKF-PBL,BKF-SHW,Riders
0,118,38,0,7,93,375061
1,119,38,0,36,93,345642
2,120,41,0,58,93,301097
3,120,41,0,73,93,306970
4,120,41,0,73,93,307648
5,120,44,0,89,93,307342
6,120,44,0,89,93,225966
7,120,46,0,89,93,165491
